user_id,rec_result
2009,"[874972, 1082185, 1127831, 866211, 1029743]"
1490,"[874972, 9297574, 995242, 1082185, 923746]"
343,"[874972, 1134398, 923746, 1082185, 961554]"
34,"[904129, 993638, 834117, 1082185, 1068719]"
1929,"[874972, 951590, 943393, 1029743, 1101173]"
827,"[904129, 1015296, 910473, 1029743, 1082185]"
568,"[1038663, 1106523, 905817, 873964, 988693]"
575,"[874972, 1049735, 953561, 1115175, 9835509]"
2473,"[874972, 5578547, 1114435, 1082185, 1127831]"
14,"[874972, 951590, 1029743, 1012587, 871756]"
474,"[1038663, 1088683, 1053690, 1096036, 1118533]"
1123,"[874972, 962229, 1054402, 854852, 1082185]"
1558,"[874972, 5569374, 1030093, 998119, 1022097]"
2352,"[874972, 1006184, 1133018, 1127831, 866211]"
361,"[1000753, 1056509, 1101010, 845208, 899624]"
681,"[874972, 850102, 8019916, 1082185, 1127831]"
630,"[12810391, 1070820, 880895, 1004906, 1024306]"
585,"[904129, 1126899, 5568072, 1082185, 1127831]"
2141,"[874972, 1070820, 1082185, 5568378, 907631]"
2018,"[874972, 1106523, 1015296, 854852, 1022254]"
2218,"[1038663, 873964, 937292, 1106523, 5592931]"
2397,"[874972, 5569792, 865026, 1127831, 854852]"
364,"[904129, 1106523, 850102, 5568378, 910032]"
381,"[874972, 1075368, 1029743, 5568378, 8090521]"
68,"[874972, 1029743, 861445, 899624, 1127831]"
245,"[1038663, 12731517, 1029743, 893018, 1004906]"
528,"[874972, 5585510, 866871, 1082185, 878996]"
698,"[874972, 1096036, 1069175, 1068719, 1004906]"
2427,"[874972, 908318, 1054539, 1022097, 909714]"
2089,"[874972, 1126899, 5592990, 1082185, 1127831]"
926,"[874972, 903325, 936914, 951412, 1119405]"
1590,"[874972, 1028891, 1029743, 909714, 878996]"
614,"[874972, 1029743, 5565925, 951590, 1082185]"
1096,"[874972, 6773232, 1090676, 878996, 962568]"
1466,"[874972, 1029743, 949294, 1127831, 866211]"
778,"[874972, 1106523, 1012587, 951590, 899624]"
1483,"[1038663, 5569230, 1083446, 1012587, 983584]"
77,"[874972, 1106523, 1082185, 1136257, 909714]"
887,"[874972, 988208, 1130716, 1106523, 1044078]"
1633,"[874972, 1029743, 1064213, 1027569, 5569471]"
1723,"[874972, 870559, 876626, 854852, 1127831]"
1371,"[1038663, 1029743, 991592, 1096036, 1043590]"
2328,"[874972, 1082990, 1106523, 1115175, 1002771]"
287,"[1038663, 1106523, 9527290, 5592931, 923746]"
100,"[874972, 939965, 849202, 1082185, 5568378]"
1241,"[874972, 1037840, 1029743, 1044078, 5568378]"
1745,"[1038663, 871756, 902377, 1043590, 1029743]"
1258,"[874972, 5569471, 821787, 961554, 866211]"
965,"[1038663, 844179, 871756, 1096036, 1029743]"
529,"[904129, 1127831, 849297, 1082185, 833025]"
687,"[874972, 951590, 8090521, 5568378, 1101173]"
2327,"[1038663, 834103, 1122413, 1106523, 1012587]"
1549,"[947858, 986912, 1106523, 923746, 5592931]"
907,"[874972, 986912, 1092588, 1004906, 845208]"
294,"[874972, 1106523, 873627, 913785, 1051211]"
1316,"[904129, 982790, 1029743, 951590, 1068719]"
2116,"[874972, 1122547, 1082185, 1101706, 1026118]"
1652,"[874972, 5567502, 880888, 1044078, 5569230]"
2200,"[874972, 837339, 916122, 951590, 965766]"
401,"[836445, 942166, 15571290, 1106523, 1044078]"
1704,"[874972, 12384431, 890610, 1082185, 1029743]"
1861,"[1038663, 1029743, 1108131, 1043590, 1096036]"
175,"[874972, 1065303, 1053329, 1127831, 878996]"
1584,"[874972, 957736, 1106523, 866211, 961554]"
2185,"[874972, 5570882, 820923, 892531, 1112238]"
1426,"[874972, 1082990, 844165, 1082185, 951590]"
1601,"[874972, 1082814, 1044078, 1082185, 854852]"
2263,"[874972, 995242, 986912, 866211, 1081177]"
114,"[874972, 1029743, 5568489, 1082185, 5568378]"
1026,"[1038663, 1082185, 1096728, 1096036, 1012587]"
332,"[874972, 1070820, 1056267, 6034857, 995965]"
693,"[874972, 1044188, 1029743, 901062, 962568]"
999,"[874972, 1029743, 6704207, 951590, 1012587]"
536,"[874972, 1029743, 5568378, 870547, 844179]"
519,"[874972, 1029743, 962266, 901062, 951412]"
650,"[874972, 1082185, 1127831, 1029743, 866211]"
467,"[874972, 1106523, 1082185, 866211, 962568]"
1917,"[874972, 1029743, 975085, 1127831, 866211]"
93,"[874972, 888476, 9655528, 944836, 1055425]"
2205,"[874972, 1048483, 1029743, 1004906, 1044078]"
372,"[874972, 1029743, 1082185, 1127831, 866211]"
2008,"[874972, 1126899, 5570383, 5568378, 907631]"
932,"[874972, 1127831, 8090537, 1012587, 1027068]"
789,"[874972, 1096036, 981760, 1082185, 1127831]"
105,"[1038663, 1135868, 1043751, 893018, 1029743]"
340,"[904129, 6534544, 1025611, 1044078, 1004906]"
1878,"[904129, 1128464, 1106523, 1082185, 1004906]"
796,"[874972, 969866, 993638, 1082185, 1127831]"
2058,"[874972, 5569471, 1006342, 901062, 7024990]"
1655,"[874972, 1096667, 1029743, 1082185, 1127831]"
1138,"[1038663, 1022053, 941515, 1096036, 1029743]"
70,"[874972, 1039156, 1130375, 1082185, 1127831]"
791,"[874972, 927695, 1123434, 1044078, 1029743]"
1733,"[874972, 894439, 6904613, 1106523, 1082185]"
676,"[1038663, 1095227, 1102959, 1029743, 820122]"
2448,"[874972, 7168058, 1054402, 962568, 878996]"
1412,"[874972, 1029743, 8090539, 1127831, 951590]"
947,"[1000753, 1134296, 1101010, 1004906, 1068719]"
2317,"[874972, 1082185, 1029743, 951412, 1137688]"
427,"[874972, 1082185, 1029743, 1127831, 866211]"
1551,"[874972, 863802, 825176, 1004906, 866211]"
437,"[874972, 877310, 962229, 916122, 840361]"
365,"[874972, 955275, 1062128, 866211, 1037863]"
2102,"[874972, 1021519, 962229, 1127831, 944836]"
1689,"[1038663, 916578, 835300, 1096036, 1106523]"
1380,"[874972, 1128812, 1029743, 1127831, 854852]"
1107,"[874972, 965766, 1082185, 1127831, 866211]"
851,"[904129, 861445, 1131438, 1082185, 1029743]"
1083,"[874972, 8065410, 864335, 1082185, 1004906]"
1432,"[874972, 830156, 1127831, 1082185, 878996]"
454,"[1038663, 1029743, 5569230, 820122, 1094308]"
2247,"[874972, 1106523, 1044078, 951590, 871756]"
1467,"[874972, 1085604, 1110572, 1082185, 1044078]"
2319,"[874972, 937791, 1029743, 5568378, 1068719]"
451,"[874972, 1082185, 1109014, 962568, 866211]"
64,"[836445, 1013928, 1081177, 1068719, 871756]"
2104,"[874972, 854852, 1082185, 1127831, 1004906]"
1184,"[874972, 917816, 887474, 866211, 1029743]"
2257,"[874972, 1104349, 1106523, 1127831, 1004906]"
1228,"[12810391, 1065538, 983795, 854852, 1024306]"
2223,"[829291, 834103, 1110572, 1106523, 1044078]"
1284,"[1038663, 9526410, 918638, 5592931, 1012587]"
1438,"[874972, 1028816, 962266, 962568, 901062]"
2478,"[874972, 932949, 1137775, 1082185, 930118]"
2482,"[1038663, 1106523, 8090521, 5592931, 893018]"
1145,"[1038663, 1106523, 985893, 1096036, 820122]"
314,"[874972, 820486, 882308, 916122, 1004906]"
1789,"[904129, 907128, 987562, 1082185, 1029743]"
1852,"[874972, 1082185, 1057260, 1026118, 1051516]"
988,"[1038663, 1070820, 988116, 859075, 1118533]"
223,"[1038663, 1029743, 859075, 1068719, 844179]"
1185,"[874972, 1106523, 848319, 1044078, 1004906]"
2252,"[12810391, 1029743, 1048462, 5592931, 845208]"
470,"[874972, 908314, 1119784, 1044078, 1106523]"
2471,"[874972, 873654, 13008321, 1127831, 1082185]"
2413,"[874972, 1097001, 1137346, 1127831, 1082185]"
404,"[874972, 9392953, 1092588, 1127831, 1082185]"
235,"[874972, 862732, 983584, 1022097, 9835509]"
2039,"[1038663, 1082185, 1085604, 1096036, 1012587]"
1905,"[874972, 1005456, 1029743, 878996, 1082185]"
604,"[874972, 862349, 5569374, 901062, 6463874]"
2357,"[904129, 9575582, 1029743, 1082185, 1044078]"
280,"[947858, 1106523, 12731544, 5592931, 1043590]"
1943,"[1038663, 1029743, 978354, 1085333, 870547]"
805,"[1038663, 870547, 899624, 845208, 1012587]"
25,"[829291, 1012284, 1029743, 951590, 1101173]"
259,"[874972, 881154, 1087605, 1127831, 1082185]"
2307,"[874972, 1082185, 883003, 1127831, 961554]"
626,"[1038663, 970409, 1081189, 1004906, 1012587]"
1794,"[874972, 5569230, 1106301, 916122, 859075]"
2224,"[874972, 923670, 1029743, 1082185, 961554]"
1361,"[874972, 951590, 878996, 1082185, 916122]"
1863,"[874972, 5569230, 866211, 1044078, 1029743]"
433,"[874972, 1106523, 1082185, 854852, 1037863]"
125,"[874972, 1029743, 8090537, 916122, 833025]"
1019,"[874972, 1028816, 996425, 1004906, 878996]"
2374,"[874972, 1070820, 1082185, 866211, 899624]"
2193,"[874972, 1070820, 6552253, 5578547, 6463874]"
1835,"[874972, 1026258, 1024306, 944836, 1055425]"
183,"[874972, 1106523, 1135681, 1044078, 1004906]"
2334,"[904129, 1029743, 1102416, 1022053, 1074754]"
1356,"[874972, 939527, 951727, 1127831, 1082185]"
1110,"[904129, 1775642, 1070820, 1004906, 1068719]"
2392,"[1038663, 965766, 1068719, 871756, 1012587]"
551,"[874972, 995242, 1011926, 1127831, 854852]"
2146,"[874972, 1053690, 1029743, 1082185, 951590]"
1308,"[874972, 9526410, 1029743, 1127831, 1004906]"
2064,"[874972, 1006483, 1028816, 1137688, 903325]"
1292,"[874972, 923670, 1112333, 1004906, 866211]"
52,"[874972, 1109680, 879280, 866211, 901062]"
362,"[874972, 923746, 1128395, 1082185, 854852]"
918,"[1038663, 835578, 1133018, 820122, 1118533]"
1220,"[1038663, 1133018, 1118533, 1043590, 1068719]"
1102,"[874972, 1082185, 1029743, 845208, 1004906]"
888,"[874972, 1131382, 1003188, 1136257, 866211]"
111,"[874972, 9677874, 1106523, 866211, 961554]"
2356,"[1038663, 932462, 1029743, 844179, 859075]"
2417,"[874972, 1127831, 1126899, 1082185, 961554]"
996,"[874972, 1133018, 923746, 1043590, 863447]"
1569,"[836445, 995242, 856827, 1043590, 1068719]"
884,"[1038663, 986912, 1015539, 1043590, 1068719]"
1886,"[874972, 1092026, 1106523, 1082185, 1004906]"
1421,"[874972, 8090521, 1053690, 859075, 871756]"
1128,"[874972, 1106523, 859075, 1127831, 1004906]"
700,"[1038663, 1101010, 935317, 1043590, 1004906]"
629,"[874972, 995242, 901776, 1127831, 1082185]"
2297,"[874972, 12731544, 857006, 1127831, 962568]"
1767,"[1038663, 986912, 1116635, 1012587, 947798]"
1827,"[829291, 1029743, 992172, 1082185, 5569327]"
51,"[874972, 1029743, 1101174, 1127831, 866211]"
46,"[874972, 1029743, 1082185, 951590, 961554]"
659,"[874972, 1015508, 1102003, 1082185, 1029743]"
308,"[874972, 1110572, 887102, 1127831, 944836]"
2124,"[874972, 1062002, 1106523, 962568, 866211]"
2231,"[874972, 1126899, 1082185, 7024990, 1101706]"
1559,"[874972, 1075368, 9392700, 1029743, 981760]"
1677,"[874972, 1029743, 927851, 951590, 1002771]"
1955,"[874972, 1063739, 1082185, 907631, 1051211]"
1576,"[874972, 911162, 1037863, 1082185, 1127831]"
2051,"[874972, 1132956, 983584, 5568378, 870547]"
1579,"[874972, 830740, 1029743, 1056509, 857503]"
560,"[874972, 1029743, 999104, 1082185, 961554]"
2143,"[1038663, 944534, 1106523, 1096036, 1043590]"
1818,"[1038663, 859075, 878996, 1004906, 923746]"
1390,"[874972, 5569230, 12648296, 1004906, 951590]"
1136,"[1038663, 1101173, 1106523, 1012587, 871756]"
1001,"[874972, 997987, 1104475, 916122, 1068719]"
1710,"[874972, 1082185, 952568, 901062, 6034857]"
2414,"[874972, 826265, 871500, 1082185, 866211]"
886,"[874972, 868764, 863762, 1127831, 1044078]"
2429,"[874972, 835243, 899624, 1068719, 923746]"
1163,"[874972, 1029743, 12263788, 844179, 5569230]"
2028,"[829291, 1097661, 1094190, 1082185, 1054262]"
226,"[1038663, 1029743, 932503, 893018, 1043590]"
2048,"[874972, 6391137, 1106523, 1082185, 951590]"
1707,"[874972, 861445, 1085604, 5568378, 907631]"
1833,"[904129, 1106523, 962229, 1068719, 5568378]"
2406,"[874972, 1126899, 1082185, 961554, 909714]"
708,"[874972, 1029743, 910439, 1127831, 909714]"
905,"[874972, 916122, 854852, 901062, 878996]"
646,"[1038663, 1029743, 926905, 1012587, 1043590]"
2399,"[904129, 1106523, 1086740, 1082185, 1004906]"
1967,"[874972, 1031833, 1127831, 878996, 916122]"
1553,"[904129, 874972, 858302, 1082185, 1044078]"
2458,"[874972, 1012913, 1127831, 1082185, 961554]"
281,"[874972, 1070820, 854852, 866211, 916122]"
773,"[874972, 835973, 909714, 901062, 866211]"
85,"[874972, 1021519, 961554, 1127831, 962568]"
2050,"[904129, 951590, 5569230, 1044078, 844179]"
1266,"[874972, 935317, 866211, 1106523, 1082185]"
1769,"[1000753, 999625, 5563693, 1082185, 878996]"
1353,"[12810391, 954642, 5592931, 1096036, 962568]"
1492,"[874972, 995242, 1102959, 923746, 899624]"
1388,"[874972, 1022066, 1010190, 907631, 5568378]"
2002,"[874972, 1106523, 1082185, 1044078, 866211]"
1309,"[904129, 1053690, 963354, 1082185, 1029743]"
254,"[874972, 1106523, 859237, 1082185, 866211]"
273,"[1038663, 1053690, 6979579, 893018, 1012587]"
1856,"[874972, 986912, 978077, 844179, 839419]"
410,"[1038663, 819308, 871611, 1106523, 1004906]"
2331,"[874972, 859075, 890695, 916122, 1101173]"
1760,"[874972, 906838, 983584, 1127831, 1044078]"
655,"[874972, 1112238, 943393, 1082185, 1127831]"
1144,"[874972, 1053329, 1110572, 1082185, 1127831]"
2207,"[836445, 986912, 911311, 969866, 939636]"
784,"[874972, 5569230, 1102250, 1127831, 961554]"
1939,"[904129, 859075, 896085, 5569230, 893018]"
1263,"[874972, 1016800, 835578, 965766, 5568378]"
2493,"[1038663, 926905, 1106523, 1012587, 1085333]"
613,"[904129, 896974, 9526410, 1044078, 1082185]"
951,"[874972, 1029743, 977481, 1082185, 1127831]"
679,"[874972, 8090521, 1137010, 1115175, 1002771]"
142,"[874972, 1074524, 1082212, 1029743, 866211]"
1455,"[874972, 1009187, 854852, 1082185, 1127831]"
730,"[874972, 909894, 1126899, 1127831, 866211]"
1803,"[1038663, 939860, 1086001, 871756, 8090537]"
1692,"[1038663, 1029743, 8291322, 1068719, 1004906]"
1616,"[874972, 916122, 962229, 1068719, 981760]"
2165,"[874972, 8011291, 9419525, 1082185, 1127831]"
210,"[1038663, 1081177, 1051323, 923746, 893018]"
1131,"[904129, 950206, 1029624, 1106523, 1004906]"
500,"[874972, 1028816, 12524174, 1082185, 1127831]"
994,"[904129, 958137, 948239, 1044078, 1096036]"
1809,"[874972, 1039156, 1055504, 1127831, 866211]"
1094,"[904129, 1029743, 951590, 1044078, 859075]"
1117,"[904129, 1106523, 825176, 1044078, 1004906]"
253,"[1038663, 951590, 1106523, 1043590, 1047968]"
2492,"[829291, 1106523, 933835, 1044078, 870547]"
128,"[874972, 1051516, 1098248, 854852, 1004906]"
1369,"[874972, 1126899, 985889, 951412, 995478]"
1161,"[874972, 862349, 1046839, 1127831, 1082185]"
1372,"[874972, 1137775, 1017838, 1127831, 1029743]"
1095,"[874972, 1127831, 1018050, 1082185, 901062]"
2111,"[874972, 1126899, 1123436, 854852, 961554]"
2435,"[874972, 828489, 1029743, 1004906, 1044078]"
813,"[874972, 6534030, 1050851, 854852, 901062]"
1331,"[874972, 1031316, 1029743, 1004906, 981760]"
1713,"[874972, 851188, 893362, 1127831, 866211]"
1751,"[874972, 1070820, 5569230, 1044078, 893018]"
2477,"[874972, 832001, 1096563, 1082185, 854852]"
706,"[874972, 1029743, 834117, 5568378, 866211]"
1441,"[874972, 5569471, 6034857, 1127831, 1082185]"
1437,"[904129, 995242, 1044078, 944317, 8090521]"
1851,"[874972, 5569374, 9803433, 1029743, 844179]"
719,"[874972, 933835, 1106523, 951590, 844179]"
803,"[874972, 969866, 1044078, 1029743, 1127831]"
617,"[874972, 10345155, 1137176, 866211, 962568]"
895,"[874972, 7024847, 868888, 1127831, 944836]"
2208,"[874972, 5569230, 1106523, 871756, 965766]"
1256,"[874972, 1058939, 1137688, 901062, 951412]"
1080,"[1038663, 949023, 1029743, 1043590, 1012587]"
628,"[874972, 1029743, 1101173, 1127831, 866211]"
1317,"[829291, 1029743, 1138292, 8090521, 1096036]"
1758,"[874972, 1126899, 1082185, 1004906, 916122]"
1899,"[829291, 951590, 1029743, 965766, 8090521]"
816,"[874972, 938187, 1082185, 961554, 5568378]"
1082,"[1038663, 1106523, 1051626, 1096036, 1043590]"
1544,"[874972, 1113141, 909249, 1127831, 961554]"
1125,"[874972, 1133018, 1127831, 878996, 866211]"
96,"[874972, 1068292, 1015296, 1044078, 1068719]"
1056,"[1038663, 1075765, 951590, 1085333, 985893]"
1037,"[874972, 1053690, 1036262, 1127831, 1082185]"
513,"[874972, 865026, 1018740, 1127831, 1082185]"
368,"[904129, 6533936, 1083446, 1082185, 844179]"
2213,"[874972, 1106523, 995965, 878996, 1137688]"
864,"[874972, 1029743, 1101010, 844179, 1068719]"
2006,"[874972, 893501, 5569471, 1127831, 854852]"
350,"[874972, 834103, 1106523, 5569230, 844179]"
673,"[904129, 951590, 1082185, 1044078, 1004906]"
1554,"[1038663, 986912, 943522, 1068719, 1082185]"
1793,"[836445, 939636, 969866, 923746, 1004906]"
35,"[874972, 1126899, 940947, 1044078, 844179]"
1865,"[1048257, 1070820, 894968, 995478, 1080853]"
200,"[1038663, 1138189, 823990, 1029743, 893018]"
2088,"[904129, 1029743, 893501, 1096036, 859075]"
953,"[874972, 1029743, 1082185, 923746, 1136257]"
409,"[874972, 1070820, 1082185, 995478, 1101706]"
168,"[874972, 1029743, 885290, 1127831, 1082185]"
1670,"[874972, 922753, 849520, 1082185, 1004906]"
521,"[874972, 8090440, 1127831, 854852, 962568]"
511,"[1038663, 1029743, 1071171, 1118533, 1012587]"
2345,"[874972, 1029743, 1137346, 944317, 1085333]"
1715,"[874972, 981760, 5592888, 1127831, 854852]"
1910,"[874972, 1058997, 1082185, 1127831, 961554]"
913,"[874972, 824758, 1070820, 1127831, 961554]"
2194,"[874972, 1062128, 995242, 951590, 1051211]"
2168,"[874972, 916381, 8090521, 1106523, 1068719]"
690,"[1000753, 1088771, 922561, 1133018, 1081177]"
15,"[874972, 1082185, 1070820, 866211, 962568]"
1469,"[1038663, 1106523, 853643, 1096036, 1043590]"
1746,"[874972, 1106523, 951590, 1044078, 5568378]"
946,"[836445, 1133018, 1093413, 871756, 934639]"
2306,"[874972, 942475, 1126808, 1082185, 1127831]"
2112,"[874972, 1082185, 1029743, 866211, 1026118]"
191,"[874972, 914190, 1036347, 1127831, 1082185]"
2340,"[1038663, 1106523, 993838, 1068719, 893018]"
7,"[874972, 1122358, 1082185, 916122, 995965]"
904,"[874972, 891505, 1082185, 1004906, 1068719]"
456,"[874972, 5569845, 862349, 1082185, 916122]"
2469,"[968072, 847982, 916122, 1082185, 1127831]"
1260,"[874972, 949257, 925425, 930118, 995478]"
544,"[874972, 1085604, 1006184, 1082185, 961554]"
1683,"[874972, 5574377, 5569471, 1127831, 1082185]"
1722,"[874972, 1126899, 987562, 961554, 1023720]"
319,"[874972, 1106523, 961554, 1127831, 981760]"
826,"[874972, 986869, 12384431, 1029743, 1127831]"
17,"[874972, 833351, 896085, 5592931, 1081177]"
979,"[874972, 1029743, 1082185, 951590, 913785]"
1591,"[874972, 1070820, 1001827, 916122, 901062]"
710,"[829291, 1106523, 1044078, 951590, 5569327]"
1738,"[874972, 922847, 1040807, 1029743, 844179]"
1479,"[829291, 977374, 1029743, 944317, 1054262]"
1512,"[904129, 947798, 1085604, 1082185, 916122]"
1542,"[874972, 821083, 868161, 1044078, 1068719]"
1946,"[874972, 1082185, 1070820, 866211, 995965]"
1465,"[874972, 1039156, 971922, 1127831, 961554]"
162,"[874972, 1122358, 1029743, 1127831, 1082185]"
1974,"[874972, 5568732, 872137, 944836, 1055425]"
1367,"[874972, 1126899, 1082185, 5569471, 854852]"
1599,"[836445, 1043590, 951590, 1108131, 1085333]"
734,"[874972, 970160, 1070702, 1127831, 866211]"
130,"[874972, 951590, 9655679, 1082185, 1004906]"
843,"[1038663, 1081177, 940700, 1012587, 1118533]"
902,"[874972, 957951, 1018339, 1127831, 866211]"
2027,"[1038663, 819765, 1088771, 1133018, 899624]"
1355,"[874972, 1075214, 1056509, 1082185, 1127831]"
178,"[829291, 963686, 873627, 1029743, 1082185]"
669,"[874972, 1082185, 1126899, 1101706, 944836]"
1642,"[874972, 845208, 1106523, 962568, 1024306]"
874,"[874972, 1116635, 9296955, 1082185, 1127831]"
2099,"[874972, 1029743, 962229, 1127831, 1004906]"
131,"[874972, 1029743, 1075214, 845208, 5592931]"
1971,"[874972, 1029743, 1082212, 1082185, 5569230]"
1771,"[874972, 895163, 8160430, 1127831, 1082185]"
22,"[874972, 1082185, 1070820, 951412, 995478]"
1873,"[829291, 1106523, 962229, 870547, 1012587]"
2390,"[874972, 1092026, 1097001, 1082185, 1029743]"
1297,"[874972, 1082185, 867138, 951412, 1137688]"
420,"[874972, 1059902, 897954, 1082185, 5568378]"
251,"[829291, 1070820, 1040807, 1044078, 859075]"
1485,"[874972, 1106523, 1075368, 1127831, 916122]"
1132,"[1038663, 951590, 1101173, 871756, 870547]"
157,"[874972, 962229, 1046839, 866211, 1029743]"
2422,"[874972, 1076580, 1093603, 878996, 961554]"
609,"[874972, 5569230, 1110572, 1029743, 1096036]"
301,"[874972, 1082185, 1015474, 916122, 1027569]"
736,"[874972, 1082185, 1029743, 1127831, 878996]"
2451,"[874972, 1076580, 1018822, 970030, 901062]"
1780,"[874972, 1106523, 5592931, 965766, 866211]"
807,"[874972, 1029743, 838186, 916122, 859075]"
1114,"[874972, 934676, 1029743, 1096036, 5568378]"
1382,"[874972, 1029743, 8090508, 951590, 1127831]"
2097,"[874972, 6391557, 5590613, 1004906, 923746]"
2391,"[874972, 5569471, 1106523, 1127831, 1004906]"
1391,"[874972, 873627, 1110624, 1037863, 1026118]"
624,"[1038663, 1106523, 5592931, 1094308, 985893]"
39,"[874972, 1126899, 1127716, 1027569, 942778]"
2182,"[874972, 1029743, 6464180, 1127831, 866211]"
1229,"[874972, 1070820, 916122, 901062, 995478]"
1951,"[874972, 947211, 1127831, 1082185, 866211]"
1106,"[904129, 12757316, 1057260, 1029743, 1004906]"
1808,"[874972, 1037840, 1053690, 1082185, 961554]"
737,"[874972, 1082185, 1121393, 878996, 951412]"
1934,"[874972, 936594, 1037863, 1127831, 1004906]"
239,"[874972, 1133018, 854852, 923746, 1068719]"
1669,"[874972, 857503, 879506, 1127831, 1082185]"
345,"[874972, 6602697, 855356, 857503, 1026118]"
2377,"[874972, 995242, 1055168, 1044078, 1068719]"
335,"[874972, 945652, 1075368, 962568, 1022254]"
1954,"[947858, 1026118, 1084036, 923746, 1096036]"
783,"[874972, 873627, 887962, 1127831, 961554]"
2240,"[874972, 1106523, 982469, 1012587, 907631]"
2038,"[904129, 1029743, 859075, 1082185, 1044078]"
414,"[874972, 1029743, 872066, 1012587, 1096036]"
146,"[1038663, 1029743, 837751, 1096036, 923746]"
1222,"[874972, 933835, 1091090, 995876, 1029743]"
2258,"[874972, 1126899, 1095040, 1082185, 901062]"
2087,"[874972, 916993, 1137688, 1117514, 951412]"
2114,"[874972, 986912, 878996, 901062, 1082185]"
2461,"[874972, 845868, 916993, 951412, 995478]"
2180,"[1038663, 1106523, 951590, 871756, 820122]"
1003,"[1038663, 1070820, 882826, 923746, 845208]"
1463,"[874972, 8090560, 6391497, 1068719, 1096036]"
1695,"[874972, 1134483, 1102959, 1127831, 866211]"
588,"[874972, 951590, 1050851, 1029743, 1044078]"
1291,"[874972, 962229, 837270, 1004906, 1068719]"
1857,"[829291, 1031316, 1092026, 5568378, 951590]"
759,"[874972, 986912, 5568447, 1127831, 1082185]"
1784,"[874972, 917406, 979707, 854852, 1024306]"
334,"[874972, 1082185, 826144, 961554, 909714]"
311,"[874972, 1106523, 1082185, 1024306, 1026118]"
556,"[904129, 837495, 1051283, 1127831, 844179]"
1135,"[874972, 1029743, 1101173, 1082185, 916122]"
1017,"[874972, 8090537, 1102829, 1082185, 907631]"
1772,"[874972, 986912, 995242, 951590, 1044078]"
231,"[874972, 821787, 1029743, 844179, 1004906]"
238,"[874972, 1102416, 1106523, 1127831, 1004906]"
1656,"[874972, 986912, 1103513, 1082185, 1127831]"
425,"[1038663, 923746, 843464, 1096036, 859075]"
2353,"[874972, 866211, 5569230, 878996, 962568]"
509,"[874972, 1022795, 7168057, 1082185, 1127831]"
